candidate_rel,jarvis_id,rank,formula,selection,p_stable,e_hull,has_metadata_json,has_pw_input,has_structure_cif,has_pw_output,has_pw_error,has_out_dir,out_file_count,workflow_declared,qe_status_reported,qe_status_source,qe_status_estimated,runtime_state,qe_job_done_marker,qe_ionic_converged,qe_scf_converged,qe_total_energy_ry,qe_total_force_ev_per_ang,reference_hull_artifacts,convergence_artifacts,phonon_artifacts,evidence_tier,evidence_label,blockers,recommended_next_step
001_JVASP-11719,JVASP-11719,1,LiCo(CO)4,top,0.9999999501225024,0.2646,True,True,True,False,False,True,0,True,done,run3,done,status_done_output_missing,False,False,False,,,,,,T0,ML-screened,missing_qe_output;reported_done_missing_pw_out,Sync completed QE outputs into the campaign directory.
002_JVASP-135344,JVASP-135344,2,LiTiO,top,0.9995801746003864,1.0003,True,True,True,False,False,True,0,True,done,run3,done,status_done_output_missing,False,False,False,,,,,,T0,ML-screened,missing_qe_output;reported_done_missing_pw_out,Sync completed QE outputs into the campaign directory.
003_JVASP-135345,JVASP-135345,3,LiTiO,top,0.995924372947206,0.6875,True,True,True,False,False,True,0,True,done,run3,done,status_done_output_missing,False,False,False,,,,,,T0,ML-screened,missing_qe_output;reported_done_missing_pw_out,Sync completed QE outputs into the campaign directory.
004_JVASP-102099,JVASP-102099,4,Li2Ti2Sb2O,top,0.995122381154934,0.0,True,True,True,False,False,True,0,True,done,run4_retry1,done,status_done_output_missing,False,False,False,,,,,,T0,ML-screened,missing_qe_output;reported_done_missing_pw_out,Sync completed QE outputs into the campaign directory.
005_JVASP-10213,JVASP-10213,5,Li2ZnGeO4,top,0.8021875544196649,0.0,True,True,True,False,False,True,0,True,done,run3,done,status_done_output_missing,False,False,False,,,,,,T0,ML-screened,missing_qe_output;reported_done_missing_pw_out,Sync completed QE outputs into the campaign directory.
006_JVASP-119494,JVASP-119494,6,LiCuRu2(RhO4)2,top,0.7447604505037791,0.0455,True,True,True,False,False,True,0,True,done,run4_retry1,done,status_done_output_missing,False,False,False,,,,,,T0,ML-screened,missing_qe_output;reported_done_missing_pw_out,Sync completed QE outputs into the campaign directory.
007_JVASP-139780,JVASP-139780,7,LiMnRhO4,top,0.7209135520526624,0.0,True,True,True,False,False,True,0,True,done,run4_retry1,done,status_done_output_missing,False,False,False,,,,,,T0,ML-screened,missing_qe_output;reported_done_missing_pw_out,Sync completed QE outputs into the campaign directory.
008_JVASP-154550,JVASP-154550,8,LiFeMoClO4,top,0.7025978713440383,0.0207,True,True,True,False,False,True,0,True,timeout,run4_retry1,done,status_timeout,False,False,False,,,,,,T0,ML-screened,missing_qe_output,Run QE relaxations and store pw.out/pw.err in the candidate directory.
009_JVASP-11782,JVASP-11782,9,Rb2LiVO4,top,0.6963208969701723,0.0,True,True,True,False,False,True,0,True,done,run3,done,status_done_output_missing,False,False,False,,,,,,T0,ML-screened,missing_qe_output;reported_done_missing_pw_out,Sync completed QE outputs into the campaign directory.
010_JVASP-142245,JVASP-142245,10,LiEr(WO4)2,top,0.6935995268853473,0.0789,True,True,True,False,False,True,0,True,timeout,run4_retry1,done,status_timeout,False,False,False,,,,,,T0,ML-screened,missing_qe_output,Run QE relaxations and store pw.out/pw.err in the candidate directory.
011_JVASP-111744,JVASP-111744,11,LiEu(WO4)2,top,0.6915955585917728,0.0,True,True,True,False,False,True,0,True,timeout,run4_retry1,done,status_timeout,False,False,False,,,,,,T0,ML-screened,missing_qe_output,Run QE relaxations and store pw.out/pw.err in the candidate directory.
012_JVASP-57404,JVASP-57404,12,K2LiVO4,top,0.6823597235195598,0.0,True,True,True,False,False,True,0,True,done,run4_retry1,done,status_done_output_missing,False,False,False,,,,,,T0,ML-screened,missing_qe_output;reported_done_missing_pw_out,Sync completed QE outputs into the campaign directory.
013_JVASP-121704,JVASP-121704,13,K2LiVO4,top,0.6822429764794545,0.0001,True,True,True,False,False,True,0,True,done,run4_retry1,done,status_done_output_missing,False,False,False,,,,,,T0,ML-screened,missing_qe_output;reported_done_missing_pw_out,Sync completed QE outputs into the campaign directory.
014_JVASP-22879,JVASP-22879,14,Li2ZnSiO4,top,0.6766647577566721,0.0,True,True,True,False,False,True,0,True,done,run4_retry1,done,status_done_output_missing,False,False,False,,,,,,T0,ML-screened,missing_qe_output;reported_done_missing_pw_out,Sync completed QE outputs into the campaign directory.
015_JVASP-48629,JVASP-48629,15,LiCoCuO4,top,0.6759128600219035,0.0582,True,True,True,False,False,True,0,True,done,run3,done,status_done_output_missing,False,False,False,,,,,,T0,ML-screened,missing_qe_output;reported_done_missing_pw_out,Sync completed QE outputs into the campaign directory.
016_JVASP-88720,JVASP-88720,16,K11LiMn4O16,top,0.6751677857127019,0.0,True,True,True,False,False,True,0,True,timeout,run4_retry1,timeout,status_timeout,False,False,False,,,,,,T0,ML-screened,missing_qe_output,Run QE relaxations and store pw.out/pw.err in the candidate directory.
