rank,jarvis_id,formula,p_stable,mu,sigma,e_hull,is_stable
1,JVASP-11719,LiCo(CO)4,0.9999999501225023,-1.283495807647705,0.05492238170141507,0.2646,False
2,JVASP-135344,LiTiO,0.9995801746003865,-0.5745007514953613,0.08103111114141041,1.0003,False
3,JVASP-135345,LiTiO,0.995924372947206,-0.3959189414978027,0.09324416494875128,0.6875,False
4,JVASP-102099,Li2Ti2Sb2O,0.995122381154934,-0.38176498413085935,0.02347877562331735,0.0,True
5,JVASP-10213,Li2ZnGeO4,0.8021875544196649,-0.0744140625,0.005826548599984553,0.0,True
6,JVASP-119494,LiCuRu2(RhO4)2,0.7447604505037791,-0.04859380722045899,0.007547998900533783,0.0455,True
7,JVASP-139780,LiMnRhO4,0.7209135520526624,-0.03903465270996094,0.004602446148990115,0.0,True
8,JVASP-154550,LiFeMoClO4,0.7025978713440383,-0.032029914855957034,0.004509007533252626,0.0207,True
9,JVASP-11782,Rb2LiVO4,0.6963208969701723,-0.02968759536743164,0.003480845824371341,0.0,True
10,JVASP-142245,LiEr(WO4)2,0.6935995268853473,-0.02868061065673828,0.003211505554292888,0.0789,False
11,JVASP-111744,LiEu(WO4)2,0.6915955585917728,-0.02794227600097656,0.004145136199847896,0.0,True
12,JVASP-57404,K2LiVO4,0.6823597235195598,-0.024573040008544923,0.004026898418527962,0.0,True
13,JVASP-121704,K2LiVO4,0.6822429764794545,-0.024530792236328126,0.004027378769679477,0.0001,True
14,JVASP-22879,Li2ZnSiO4,0.6766647577566721,-0.02252168655395508,0.0006436645756969835,0.0,True
15,JVASP-48629,LiCoCuO4,0.6759128600219035,-0.022252273559570313,0.0025204420801267446,0.0582,False
16,JVASP-88720,K11LiMn4O16,0.6751677857127019,-0.021985626220703124,0.002212700413412427,0.0,True
17,JVASP-54568,LiTl3(MoO4)2,0.6727650691009971,-0.021127891540527344,0.003641639531739505,0.0,True
18,JVASP-133282,LiHo(WO4)2,0.6701743051035043,-0.020206642150878907,0.003690151022946115,0.0029,True
19,JVASP-146723,LiCrPO4,0.6610856270794109,-0.017003250122070313,0.004696589657521591,0.0,True
20,JVASP-57362,LiGa(MoO4)2,0.6596388036786802,-0.016497230529785155,0.00302132860750457,0.0,True
21,JVASP-120616,LiYb(WO4)2,0.6570483327060349,-0.015593814849853515,0.00267859849326465,0.1111,False
22,JVASP-113229,Li2Co3BiO8,0.6555194064656389,-0.01506214141845703,0.004123144127181564,0.0434,True
23,JVASP-23304,LiVAsO5,0.6552423458190327,-0.01496591567993164,0.0021840328575774086,0.081,False
24,JVASP-48326,NaLiMnPCO7,0.6531038846962868,-0.014224433898925781,0.0012281217157247026,0.0119,True
25,JVASP-10690,LiNdTiO4,0.6515081818630379,-0.013672542572021485,0.0033566212183658963,0.0,True
26,JVASP-56624,RbLiMoO4,0.6512887024888437,-0.013596725463867188,0.0030766525033815296,0.0,True
27,JVASP-144779,NaLiMnPCO7,0.6492138856407799,-0.012881088256835937,0.001196840772415317,0.0,True
28,JVASP-119277,Li2FeO3,0.6490386048546023,-0.012820720672607422,0.0020222366036684314,0.0,True
29,JVASP-34836,Li(CoO2)2,0.6480775860848309,-0.012489986419677735,0.0015556202792508952,0.0,True
30,JVASP-43029,Li2FeO3,0.6460777304116798,-0.011803054809570312,0.002035821306697421,0.0265,True
31,JVASP-44377,Li2Cr3SbO8,0.6444230082543249,-0.011236000061035156,0.002374527817048333,0.0158,True
32,JVASP-142677,Li2Cr3SbO8,0.6433603389329234,-0.010872459411621094,0.0023413972257019136,0.0,True
33,JVASP-11729,Li2FeSiO4,0.6363322844326486,-0.008480072021484375,0.002718069158450088,0.0601,False
34,JVASP-14002,LiYMo3O8,0.6349717394590363,-0.008019256591796874,0.003126065065262603,0.0,True
35,JVASP-9783,Li2TiSiO5,0.6345624774472479,-0.007880783081054688,0.0012707981836734448,0.0,True
36,JVASP-55805,LiMnAsO4,0.6341262246799683,-0.00773324966430664,0.008560177802826578,0.1597,False
37,JVASP-55325,LiVP2O7,0.6328887462168975,-0.007315158843994141,0.0011175882225030879,0.0,True
38,JVASP-20860,Li10Zn4O9,0.6327828127463994,-0.007279396057128906,0.0028952441489483597,0.0023,True
39,JVASP-153797,Li2FeSiO4,0.6313592405641414,-0.006799221038818359,0.0025645775041608847,0.0461,True
40,JVASP-91495,Na2Li3FeO4,0.6307710474837326,-0.0066010475158691405,0.002486053924487454,0.0,True
41,JVASP-43211,LiMnO2,0.6299747550057442,-0.006332969665527344,0.002343616696785118,0.0502,False
42,JVASP-87170,LiMoP2O7,0.6296862039633062,-0.006235885620117188,0.001829408228251594,0.0336,True
43,JVASP-45772,LiVCr(P2O7)2,0.6296674931320934,-0.006229591369628906,0.0007221159705505108,0.0,True
44,JVASP-48483,Li2Ni3TeO8,0.629163571964193,-0.006060123443603516,0.0031622216369336527,0.012,True
45,JVASP-54553,LiNbWO6,0.6288336163826741,-0.005949211120605469,0.002781817233381577,0.0,True
46,JVASP-11815,Li3VO4,0.6287799836900796,-0.005931186676025391,0.0030940002744368257,0.0,True
47,JVASP-46114,LiMn(CO3)2,0.6285384553817608,-0.005850028991699219,0.003959305015916677,0.0125,True
48,JVASP-110322,LiMnO2,0.6279540945347085,-0.005653762817382812,0.0023597427797129754,0.0286,True
49,JVASP-7854,LiMnO2,0.6270691755674523,-0.005356788635253906,0.0029120440332397624,0.0552,False
50,JVASP-47584,Li2Co3SbO8,0.6267785634596145,-0.005259323120117188,0.00289194858749135,0.016,True
