"rank","jarvis_id","formula","p_stable","mu","sigma","e_hull","is_stable","selection","qe_final_state_est","qe_status_source_est"
"1","JVASP-11719","LiCo(CO)4","0.9999999501225023","-1.283495807647705","0.05492238170141507","0.2646","False","top","done","run3"
"2","JVASP-135344","LiTiO","0.9995801746003865","-0.5745007514953613","0.08103111114141041","1.0003","False","top","done","run3"
"3","JVASP-135345","LiTiO","0.995924372947206","-0.3959189414978027","0.09324416494875128","0.6875","False","top","done","run3"
"4","JVASP-102099","Li2Ti2Sb2O","0.995122381154934","-0.38176498413085935","0.02347877562331735","0.0","True","top","done","run4_retry1"
"5","JVASP-10213","Li2ZnGeO4","0.8021875544196649","-0.0744140625","0.005826548599984553","0.0","True","top","done","run3"
"6","JVASP-119494","LiCuRu2(RhO4)2","0.7447604505037791","-0.04859380722045899","0.007547998900533783","0.0455","True","top","done","run4_retry1"
"7","JVASP-139780","LiMnRhO4","0.7209135520526624","-0.03903465270996094","0.004602446148990115","0.0","True","top","done","run4_retry1"
"8","JVASP-154550","LiFeMoClO4","0.7025978713440383","-0.032029914855957034","0.004509007533252626","0.0207","True","top","done","run5_retry2_est"
"9","JVASP-11782","Rb2LiVO4","0.6963208969701723","-0.02968759536743164","0.003480845824371341","0.0","True","top","done","run3"
"10","JVASP-142245","LiEr(WO4)2","0.6935995268853473","-0.02868061065673828","0.003211505554292888","0.0789","False","top","done","run5_retry2_est"
"11","JVASP-111744","LiEu(WO4)2","0.6915955585917728","-0.02794227600097656","0.004145136199847896","0.0","True","top","done","run5_retry2_est"
"12","JVASP-57404","K2LiVO4","0.6823597235195598","-0.024573040008544923","0.004026898418527962","0.0","True","top","done","run4_retry1"
"13","JVASP-121704","K2LiVO4","0.6822429764794545","-0.024530792236328126","0.004027378769679477","0.0001","True","top","done","run4_retry1"
"14","JVASP-22879","Li2ZnSiO4","0.6766647577566721","-0.02252168655395508","0.0006436645756969835","0.0","True","top","done","run4_retry1"
"15","JVASP-48629","LiCoCuO4","0.6759128600219035","-0.022252273559570313","0.0025204420801267446","0.0582","False","top","done","run3"
"17","JVASP-54568","LiTl3(MoO4)2","0.6727650691009971","-0.021127891540527344","0.003641639531739505","0.0","True","top","done","run4_retry1"
"19","JVASP-146723","LiCrPO4","0.6610856270794109","-0.017003250122070313","0.004696589657521591","0.0","True","top","done","run4_retry1"
"20","JVASP-57362","LiGa(MoO4)2","0.6596388036786802","-0.016497230529785155","0.00302132860750457","0.0","True","top","done","run5_retry2_est"
"22","JVASP-113229","Li2Co3BiO8","0.6555194064656389","-0.01506214141845703","0.004123144127181564","0.0434","True","top","done","run4_retry1"
"23","JVASP-23304","LiVAsO5","0.6552423458190327","-0.01496591567993164","0.0021840328575774086","0.081","False","top","done","run5_retry2_est"
