rank,jarvis_id,formula,p_stable,mu,sigma,e_hull,is_stable,selection,path
1,JVASP-11719,LiCo(CO)4,0.9999999501225024,-1.283495807647705,0.054922381701415,0.2646,False,top,reports\dft_qe_jarvis_50_mix\001_JVASP-11719
2,JVASP-135344,LiTiO,0.9995801746003864,-0.5745007514953613,0.0810311111414104,1.0003,False,top,reports\dft_qe_jarvis_50_mix\002_JVASP-135344
3,JVASP-135345,LiTiO,0.995924372947206,-0.3959189414978027,0.0932441649487512,0.6875,False,top,reports\dft_qe_jarvis_50_mix\003_JVASP-135345
4,JVASP-102099,Li2Ti2Sb2O,0.995122381154934,-0.3817649841308593,0.0234787756233173,0.0,True,top,reports\dft_qe_jarvis_50_mix\004_JVASP-102099
5,JVASP-10213,Li2ZnGeO4,0.8021875544196649,-0.0744140625,0.0058265485999845,0.0,True,top,reports\dft_qe_jarvis_50_mix\005_JVASP-10213
6,JVASP-119494,LiCuRu2(RhO4)2,0.7447604505037791,-0.0485938072204589,0.0075479989005337,0.0455,True,top,reports\dft_qe_jarvis_50_mix\006_JVASP-119494
7,JVASP-139780,LiMnRhO4,0.7209135520526624,-0.0390346527099609,0.0046024461489901,0.0,True,top,reports\dft_qe_jarvis_50_mix\007_JVASP-139780
8,JVASP-154550,LiFeMoClO4,0.7025978713440383,-0.032029914855957,0.0045090075332526,0.0207,True,top,reports\dft_qe_jarvis_50_mix\008_JVASP-154550
9,JVASP-11782,Rb2LiVO4,0.6963208969701723,-0.0296875953674316,0.0034808458243713,0.0,True,top,reports\dft_qe_jarvis_50_mix\009_JVASP-11782
10,JVASP-142245,LiEr(WO4)2,0.6935995268853473,-0.0286806106567382,0.0032115055542928,0.0789,False,top,reports\dft_qe_jarvis_50_mix\010_JVASP-142245
11,JVASP-111744,LiEu(WO4)2,0.6915955585917728,-0.0279422760009765,0.0041451361998478,0.0,True,top,reports\dft_qe_jarvis_50_mix\011_JVASP-111744
12,JVASP-57404,K2LiVO4,0.6823597235195598,-0.0245730400085449,0.0040268984185279,0.0,True,top,reports\dft_qe_jarvis_50_mix\012_JVASP-57404
13,JVASP-121704,K2LiVO4,0.6822429764794545,-0.0245307922363281,0.0040273787696794,0.0001,True,top,reports\dft_qe_jarvis_50_mix\013_JVASP-121704
14,JVASP-22879,Li2ZnSiO4,0.6766647577566721,-0.022521686553955,0.0006436645756969,0.0,True,top,reports\dft_qe_jarvis_50_mix\014_JVASP-22879
15,JVASP-48629,LiCoCuO4,0.6759128600219035,-0.0222522735595703,0.0025204420801267,0.0582,False,top,reports\dft_qe_jarvis_50_mix\015_JVASP-48629
16,JVASP-88720,K11LiMn4O16,0.6751677857127019,-0.0219856262207031,0.0022127004134124,0.0,True,top,reports\dft_qe_jarvis_50_mix\016_JVASP-88720
17,JVASP-54568,LiTl3(MoO4)2,0.6727650691009971,-0.0211278915405273,0.0036416395317395,0.0,True,top,reports\dft_qe_jarvis_50_mix\017_JVASP-54568
18,JVASP-133282,LiHo(WO4)2,0.6701743051035043,-0.0202066421508789,0.0036901510229461,0.0029,True,top,reports\dft_qe_jarvis_50_mix\018_JVASP-133282
19,JVASP-146723,LiCrPO4,0.6610856270794109,-0.0170032501220703,0.0046965896575215,0.0,True,top,reports\dft_qe_jarvis_50_mix\019_JVASP-146723
