"candidate_rel","final_state","source","return_code","job_done"
"001_JVASP-11719","done","run3","0","1"
"002_JVASP-135344","done","run3","0","1"
"003_JVASP-135345","done","run3","0","1"
"004_JVASP-102099","done","run4_retry1","0","1"
"005_JVASP-10213","done","run3","0","1"
"006_JVASP-119494","done","run4_retry1","0","1"
"007_JVASP-139780","done","run4_retry1","0","1"
"008_JVASP-154550","timeout","run4_retry1","124","0"
"009_JVASP-11782","done","run3","0","1"
"010_JVASP-142245","timeout","run4_retry1","124","0"
"011_JVASP-111744","timeout","run4_retry1","124","0"
"012_JVASP-57404","done","run4_retry1","0","1"
"013_JVASP-121704","done","run4_retry1","0","1"
"014_JVASP-22879","done","run4_retry1","0","1"
"015_JVASP-48629","done","run3","0","1"
"016_JVASP-88720","timeout","run4_retry1","124","0"
"017_JVASP-54568","done","run4_retry1","0","1"
"018_JVASP-133282","timeout","run4_retry1","124","0"
"019_JVASP-146723","done","run4_retry1","0","1"
"020_JVASP-57362","timeout","run4_retry1","124","0"
"021_JVASP-120616","timeout","run4_retry1","124","0"
"022_JVASP-113229","done","run4_retry1","2","1"
"023_JVASP-23304","timeout","run4_retry1","124","0"
"024_JVASP-48326","done","run4_retry1","0","1"
"025_JVASP-10690","done","run4_retry1","0","1"
"026_JVASP-56624","done","run3","0","1"
"027_JVASP-144779","done","run4_retry1","0","1"
"028_JVASP-119277","done","run4_retry1","0","1"
"029_JVASP-34836","done","run3","0","1"
"030_JVASP-43029","done","run3","0","1"
"031_JVASP-44377","done","run4_retry1","0","1"
"032_JVASP-142677","timeout","run4_retry1","124","0"
"033_JVASP-11729","done","run4_retry1","0","1"
"034_JVASP-14002","done","run3","0","1"
"035_JVASP-9783","done","run3","0","1"
"036_JVASP-55805","done","run4_retry1","0","1"
"037_JVASP-55325","done","run4_retry1","0","1"
"038_JVASP-20860","done","run4_retry1","0","1"
"039_JVASP-153797","done","run4_retry1","0","1"
"040_JVASP-91495","done","run4_retry1","0","1"
"041_JVASP-43211","done","run3","0","1"
"042_JVASP-87170","done","run4_retry1","0","1"
"043_JVASP-45772","done","run4_retry1","0","1"
"044_JVASP-48483","done","run4_retry1","0","1"
"045_JVASP-54553","done","run4_retry1","0","1"
"076_JVASP-97999","done","run4_retry1","0","1"
"1753_JVASP-116825","done","run4_retry1","0","1"
"2669_JVASP-44507","done","run4_retry1","0","1"
"2675_JVASP-43165","done","run4_retry1","0","1"
"3310_JVASP-133661","done","run4_retry1","0","1"
