"candidate_rel","final_state","source"
"001_JVASP-11719","done","run3"
"002_JVASP-135344","done","run3"
"003_JVASP-135345","done","run3"
"004_JVASP-102099","done","run4_retry1"
"005_JVASP-10213","done","run3"
"006_JVASP-119494","done","run4_retry1"
"007_JVASP-139780","done","run4_retry1"
"008_JVASP-154550","done","run5_retry2_est"
"009_JVASP-11782","done","run3"
"010_JVASP-142245","done","run5_retry2_est"
"011_JVASP-111744","done","run5_retry2_est"
"012_JVASP-57404","done","run4_retry1"
"013_JVASP-121704","done","run4_retry1"
"014_JVASP-22879","done","run4_retry1"
"015_JVASP-48629","done","run3"
"016_JVASP-88720","timeout","run5_retry2_est"
"017_JVASP-54568","done","run4_retry1"
"018_JVASP-133282","timeout","run5_retry2_est"
"019_JVASP-146723","done","run4_retry1"
"020_JVASP-57362","done","run5_retry2_est"
"021_JVASP-120616","timeout","run5_retry2_est"
"022_JVASP-113229","done","run4_retry1"
"023_JVASP-23304","done","run5_retry2_est"
"024_JVASP-48326","done","run4_retry1"
"025_JVASP-10690","done","run4_retry1"
"026_JVASP-56624","done","run3"
"027_JVASP-144779","done","run4_retry1"
"028_JVASP-119277","done","run4_retry1"
"029_JVASP-34836","done","run3"
"030_JVASP-43029","done","run3"
"031_JVASP-44377","done","run4_retry1"
"032_JVASP-142677","done","run5_retry2_est"
"033_JVASP-11729","done","run4_retry1"
"034_JVASP-14002","done","run3"
"035_JVASP-9783","done","run3"
"036_JVASP-55805","done","run4_retry1"
"037_JVASP-55325","done","run4_retry1"
"038_JVASP-20860","done","run4_retry1"
"039_JVASP-153797","done","run4_retry1"
"040_JVASP-91495","done","run4_retry1"
"041_JVASP-43211","done","run3"
"042_JVASP-87170","done","run4_retry1"
"043_JVASP-45772","done","run4_retry1"
"044_JVASP-48483","done","run4_retry1"
"045_JVASP-54553","done","run4_retry1"
"076_JVASP-97999","done","run4_retry1"
"1753_JVASP-116825","done","run4_retry1"
"2669_JVASP-44507","done","run4_retry1"
"2675_JVASP-43165","done","run4_retry1"
"3310_JVASP-133661","done","run4_retry1"
