candidate_rel,jarvis_id,rank,p_stable,formula,final_state,source,return_code,job_done
001_JVASP-11719,JVASP-11719,1,0.9999999501225023,LiCo(CO)4,done,run3,0,1
002_JVASP-135344,JVASP-135344,2,0.9995801746003865,LiTiO,done,run3,0,1
003_JVASP-135345,JVASP-135345,3,0.995924372947206,LiTiO,done,run3,0,1
004_JVASP-102099,JVASP-102099,4,0.995122381154934,Li2Ti2Sb2O,done,run4_retry1,0,1
005_JVASP-10213,JVASP-10213,5,0.8021875544196649,Li2ZnGeO4,done,run3,0,1
006_JVASP-119494,JVASP-119494,6,0.7447604505037791,LiCuRu2(RhO4)2,done,run4_retry1,0,1
007_JVASP-139780,JVASP-139780,7,0.7209135520526624,LiMnRhO4,done,run4_retry1,0,1
008_JVASP-154550,JVASP-154550,8,0.7025978713440383,LiFeMoClO4,timeout,run4_retry1,124,0
009_JVASP-11782,JVASP-11782,9,0.6963208969701723,Rb2LiVO4,done,run3,0,1
010_JVASP-142245,JVASP-142245,10,0.6935995268853473,LiEr(WO4)2,timeout,run4_retry1,124,0
011_JVASP-111744,JVASP-111744,11,0.6915955585917728,LiEu(WO4)2,timeout,run4_retry1,124,0
012_JVASP-57404,JVASP-57404,12,0.6823597235195598,K2LiVO4,done,run4_retry1,0,1
013_JVASP-121704,JVASP-121704,13,0.6822429764794545,K2LiVO4,done,run4_retry1,0,1
014_JVASP-22879,JVASP-22879,14,0.6766647577566721,Li2ZnSiO4,done,run4_retry1,0,1
015_JVASP-48629,JVASP-48629,15,0.6759128600219035,LiCoCuO4,done,run3,0,1
016_JVASP-88720,JVASP-88720,16,0.6751677857127019,K11LiMn4O16,timeout,run4_retry1,124,0
017_JVASP-54568,JVASP-54568,17,0.6727650691009971,LiTl3(MoO4)2,done,run4_retry1,0,1
018_JVASP-133282,JVASP-133282,18,0.6701743051035043,LiHo(WO4)2,timeout,run4_retry1,124,0
019_JVASP-146723,JVASP-146723,19,0.6610856270794109,LiCrPO4,done,run4_retry1,0,1
020_JVASP-57362,JVASP-57362,20,0.6596388036786802,LiGa(MoO4)2,timeout,run4_retry1,124,0
021_JVASP-120616,JVASP-120616,21,0.6570483327060349,LiYb(WO4)2,timeout,run4_retry1,124,0
022_JVASP-113229,JVASP-113229,22,0.6555194064656389,Li2Co3BiO8,done,run4_retry1,2,1
023_JVASP-23304,JVASP-23304,23,0.6552423458190327,LiVAsO5,timeout,run4_retry1,124,0
024_JVASP-48326,JVASP-48326,24,0.6531038846962868,NaLiMnPCO7,done,run4_retry1,0,1
025_JVASP-10690,JVASP-10690,25,0.6515081818630379,LiNdTiO4,done,run4_retry1,0,1
026_JVASP-56624,JVASP-56624,26,0.6512887024888437,RbLiMoO4,done,run3,0,1
027_JVASP-144779,JVASP-144779,27,0.6492138856407799,NaLiMnPCO7,done,run4_retry1,0,1
028_JVASP-119277,JVASP-119277,28,0.6490386048546023,Li2FeO3,done,run4_retry1,0,1
029_JVASP-34836,JVASP-34836,29,0.6480775860848309,Li(CoO2)2,done,run3,0,1
030_JVASP-43029,JVASP-43029,30,0.6460777304116798,Li2FeO3,done,run3,0,1
031_JVASP-44377,JVASP-44377,31,0.6444230082543249,Li2Cr3SbO8,done,run4_retry1,0,1
032_JVASP-142677,JVASP-142677,32,0.6433603389329234,Li2Cr3SbO8,timeout,run4_retry1,124,0
033_JVASP-11729,JVASP-11729,33,0.6363322844326486,Li2FeSiO4,done,run4_retry1,0,1
034_JVASP-14002,JVASP-14002,34,0.6349717394590363,LiYMo3O8,done,run3,0,1
035_JVASP-9783,JVASP-9783,35,0.6345624774472479,Li2TiSiO5,done,run3,0,1
036_JVASP-55805,JVASP-55805,36,0.6341262246799683,LiMnAsO4,done,run4_retry1,0,1
037_JVASP-55325,JVASP-55325,37,0.6328887462168975,LiVP2O7,done,run4_retry1,0,1
038_JVASP-20860,JVASP-20860,38,0.6327828127463994,Li10Zn4O9,done,run4_retry1,0,1
039_JVASP-153797,JVASP-153797,39,0.6313592405641414,Li2FeSiO4,done,run4_retry1,0,1
040_JVASP-91495,JVASP-91495,40,0.6307710474837326,Na2Li3FeO4,done,run4_retry1,0,1
041_JVASP-43211,JVASP-43211,41,0.6299747550057442,LiMnO2,done,run3,0,1
042_JVASP-87170,JVASP-87170,42,0.6296862039633062,LiMoP2O7,done,run4_retry1,0,1
043_JVASP-45772,JVASP-45772,43,0.6296674931320934,LiVCr(P2O7)2,done,run4_retry1,0,1
044_JVASP-48483,JVASP-48483,44,0.629163571964193,Li2Ni3TeO8,done,run4_retry1,0,1
045_JVASP-54553,JVASP-54553,45,0.6288336163826741,LiNbWO6,done,run4_retry1,0,1
076_JVASP-97999,JVASP-97999,76,0.6131935835236969,LiV(SiO3)2,done,run4_retry1,0,1
1753_JVASP-116825,JVASP-116825,1753,0.41062502136719986,Li3V2(CO3)4,done,run4_retry1,0,1
2669_JVASP-44507,JVASP-44507,2669,0.30998635601252267,Li2MnBAsO7,done,run4_retry1,0,1
2675_JVASP-43165,JVASP-43165,2675,0.30912158767985987,Li2MnV3O8,done,run4_retry1,0,1
3310_JVASP-133661,JVASP-133661,3310,0.1586774860492561,Li5Fe3(CuO5)2,done,run4_retry1,0,1
